iter	Logloss
0	0.661805791
1	0.6333183817
2	0.6091380225
3	0.5872204459
4	0.5682904936
5	0.552468507
6	0.5383295447
7	0.5241648315
8	0.5135321833
9	0.5029119587
10	0.4935619972
11	0.4864185658
12	0.4801643573
13	0.473836957
14	0.468782031
15	0.4632550175
16	0.4592336967
17	0.4555720918
18	0.4516462737
19	0.4489497399
20	0.4462121663
21	0.4438771782
22	0.4413455547
23	0.4392558899
24	0.4373417235
25	0.4355684938
26	0.4337978845
27	0.4318676586
28	0.4299236582
29	0.4282253089
30	0.4269337618
31	0.4257421624
32	0.4246728276
33	0.4232052761
34	0.4220798723
35	0.4211488125
36	0.4202691924
37	0.4194767554
38	0.41820116
39	0.4174661344
40	0.4167602695
41	0.4157170861
42	0.4151980571
43	0.4145814871
44	0.4138984001
45	0.4131570712
46	0.4126100442
47	0.4120993008
48	0.4116515275
49	0.4112597551
50	0.4106776532
51	0.4103802161
52	0.4098803581
53	0.4093874135
54	0.4089703783
55	0.4084021439
56	0.4079631258
57	0.407599997
58	0.4072152306
59	0.4068248955
60	0.406592967
61	0.4062770324
62	0.4060905606
63	0.4058125199
64	0.4052808238
65	0.4050415928
66	0.4048270554
67	0.4043470347
68	0.4041429996
69	0.4038014298
70	0.4036240853
71	0.403343668
72	0.4030392366
73	0.4027917143
74	0.402522622
75	0.4021729964
76	0.4019224571
77	0.401729056
78	0.401563032
79	0.4013859965
80	0.40117755
81	0.400985471
82	0.4007850415
83	0.4006663099
84	0.400412171
85	0.4002420507
86	0.4001091347
87	0.3998976834
88	0.3997104746
89	0.3994905588
90	0.399360529
91	0.399136059
92	0.3989631595
93	0.3986529216
94	0.3984802509
95	0.3983059656
96	0.3982119858
97	0.3979854101
98	0.3978530632
99	0.3977646255
100	0.3975472878
101	0.3973116068
102	0.3972393515
103	0.3970779245
104	0.3969869554
105	0.3968617983
106	0.3967966667
107	0.3966067088
108	0.3964710372
109	0.3963857215
110	0.3962843707
111	0.3962321504
112	0.3961162586
113	0.3959591476
114	0.3958105326
115	0.3957002371
116	0.3955026823
117	0.3952848139
118	0.3951875159
119	0.3950731593
120	0.3949870797
121	0.3948800941
122	0.3947941368
123	0.3945963583
124	0.3945466814
125	0.3944340799
126	0.3943138982
127	0.3942372092
128	0.3941462348
129	0.3940265915
130	0.3939588778
131	0.3937928822
132	0.3936850858
133	0.3935403035
134	0.3934669134
135	0.3933649101
136	0.3932346986
137	0.393090104
138	0.3929677313
139	0.3927823763
140	0.392602052
141	0.3924688789
142	0.3923508063
143	0.3922044056
144	0.3920934932
145	0.3918080214
146	0.3916989596
147	0.3915713266
148	0.3914130076
149	0.3912500077
150	0.3910586695
151	0.3909605829
152	0.3908138821
153	0.3907452313
154	0.3906446074
155	0.3905498471
156	0.3904194834
157	0.3902965536
158	0.3902401046
159	0.3901112015
160	0.3899659746
161	0.38987115
162	0.389655045
163	0.3894773541
164	0.3892840509
165	0.3891564357
166	0.3890365539
167	0.388880333
168	0.3887194513
169	0.3885101096
170	0.3884329501
171	0.3882970334
172	0.3882195365
173	0.3881145079
174	0.387977838
175	0.3878971142
176	0.3877979907
177	0.387670473
178	0.3874989929
179	0.3873578922
180	0.387184508
181	0.3871047295
182	0.3869247467
183	0.3867023021
184	0.3865735441
185	0.3864574625
186	0.3862628221
187	0.3860916328
188	0.3859407163
189	0.3858393472
190	0.3857175024
191	0.3856100937
192	0.3855141505
193	0.3853757442
194	0.3851884698
195	0.3850554259
196	0.3849097542
197	0.3848248881
198	0.3847683907
199	0.3846268866
200	0.3845369655
201	0.3844258425
202	0.3843064961
203	0.3841120073
204	0.3839176843
205	0.3837846188
206	0.3836631057
207	0.3834885706
208	0.3832234006
209	0.3830819907
210	0.3829055138
211	0.3828054947
212	0.3826871526
213	0.3825583733
214	0.382374155
215	0.382280485
216	0.3821231959
217	0.3820212353
218	0.3818628349
219	0.3817303406
220	0.3815215789
221	0.3813507591
222	0.3811951887
223	0.3810765615
224	0.3808537886
225	0.3807423424
226	0.3806051188
227	0.3805066749
228	0.3803164489
229	0.3801268461
230	0.3799750089
231	0.3797702711
232	0.3796159
233	0.3795447023
234	0.3794208305
235	0.3792383981
236	0.3791181031
237	0.3790527764
238	0.3789441279
239	0.3788002835
240	0.3786614105
241	0.378442771
242	0.3783414017
243	0.3782738078
244	0.3780876903
245	0.3779099599
246	0.3776841653
247	0.3775369504
248	0.3774406958
249	0.3772725461
250	0.3771723178
251	0.3771188166
252	0.3769993078
253	0.3768268844
254	0.3767763302
255	0.376659336
256	0.3765451761
257	0.376463517
258	0.376262822
259	0.3762093901
260	0.3760637752
261	0.376007025
262	0.3759614532
263	0.3757323646
264	0.3756050965
265	0.3754920525
266	0.3753868436
267	0.3751907068
268	0.3751305631
269	0.3750760246
270	0.374918355
271	0.3747796909
272	0.3747372846
273	0.374692651
274	0.3745876682
275	0.3743984249
276	0.3743566997
277	0.3741879355
278	0.3740426059
279	0.3738909967
280	0.3737764912
281	0.3736154094
282	0.3734621132
283	0.3733091701
284	0.3732633746
285	0.3731477944
286	0.3730233366
287	0.3729554454
288	0.3728629509
289	0.3726531449
290	0.3725173943
291	0.37238638
292	0.3722851168
293	0.372073905
294	0.3719992169
295	0.3718589126
296	0.3716843589
297	0.3715302684
298	0.3714159955
299	0.3713168262
